pool,K,dev_sel,promo_sel,optimism,optimism_se,selection,transfer,promo_sel_p10,frac_promo_below_mean
narrow,1,0.07084,0.0714,-0.00057,8e-05,-0.0001,0.00015,0.06577,0.427
narrow,2,0.07235,0.07246,-0.00011,7e-05,0.00035,0.00121,0.06864,0.311
narrow,5,0.0737,0.07302,0.00068,6e-05,0.00115,0.00176,0.0699,0.267
narrow,10,0.07458,0.07338,0.00121,6e-05,0.00167,0.00212,0.0699,0.203
narrow,25,0.07554,0.07294,0.0026,5e-05,0.00306,0.00169,0.06864,0.233
narrow,50,0.07612,0.07286,0.00326,4e-05,0.00372,0.0016,0.06864,0.187
narrow,100,0.07654,0.07338,0.00316,2e-05,0.00362,0.00212,0.07306,0.041
broad,1,0.07096,0.07298,-0.00202,0.0001,-9e-05,0.00019,0.06489,0.346
broad,2,0.07359,0.0762,-0.00261,7e-05,-0.00068,0.00341,0.06989,0.197
broad,5,0.07537,0.07761,-0.00224,6e-05,-0.00031,0.00482,0.07376,0.059
broad,10,0.07618,0.07799,-0.00181,5e-05,0.00012,0.0052,0.0757,0.012
broad,25,0.07699,0.07803,-0.00104,4e-05,0.00089,0.00524,0.07584,0.0
