cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
0,29,0,461.7,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,2026,0.0702294822728844,0.07570430822940401
1,20,0,202.9,0.24270612228224298,28,8,0.7039668529073169,0.5241067089885526,1.3504049500898039,49.21136388292894,28,1,790208,0.06967572089845996,0.06493925159092519
2,209,0,832.2,0.01333769930023508,399,10,0.9244672861902798,0.7577575666423078,23.43748397301058,7.408527911055287,478,1,646745,0.07565637228020158,0.07937114733994156
3,3,0,598.2,0.24802336582400147,354,12,0.9465133456224115,0.8369459220300952,2.9391858982341463,15.34019082428711,39,1,136010,0.05028999802994197,0.04647036703604238
4,16,0,291.7,0.12332334518177444,85,10,0.6254317133081571,0.7782121417489754,1.431188329311952,136.5920618203522,12,1,355330,0.06897369675603239,0.07339545714680408
5,254,0,763.6,0.030007289854185208,86,12,0.7180951003034446,0.5477657839474431,343.8195880555888,1.5199582312721363,50,1,987711,0.07347559700752375,0.07638839806139
6,5,0,190.5,0.1510038675827845,96,8,0.6465420638101034,0.5434036240918414,2.2737007071705118,2.1290610829554106,73,1,606234,0.05480034265364908,0.059689300528328056
7,26,0,411.6,0.20782101957883434,32,12,0.9442427135533118,0.9667150016056434,119.21559093644403,291.0034510736965,41,1,147033,0.07433503467122464,0.07206742390886044
8,300,1,662.4,0.0237019070739004,447,4,0.5542732631839671,0.7316755776776533,140.90568570403664,15.420221161730051,281,1,616063,0.07137599285836362,0.07766963589749679
9,101,0,485.9,0.05701772508725779,70,6,0.7774659152808131,0.7490753824345061,1.463435663048855,9.630332491311757,226,1,518441,0.07320687728364006,0.0746605804116756
10,21,0,290.1,0.22773192065014541,162,10,0.8627974122765314,0.6750981134224303,364.0749661578621,36.964502153192015,396,1,937878,0.07037156576420078,0.06994495868538012
11,13,0,575.7,0.09063802073819835,360,10,0.9712997094169936,0.6511258679190024,43.29159739267855,1.093661379744951,72,1,676552,0.06406882087540669,0.06411986617370145
12,22,0,321.8,0.06305966830924817,365,8,0.8591753319115408,0.8283090150613721,7.231614358038189,25.395244771169782,208,1,545228,0.07122324948489284,0.06762084203617759
13,55,0,291.5,0.1336710964054236,23,10,0.5448713478378742,0.8769857686390163,88.90525284431197,1.0184821133032478,389,1,620571,0.07133963009540734,0.07291929917444503
14,300,1,560.2,0.01886397387970449,140,4,0.610163236529989,0.9864108957834073,175.90432250709722,454.83526772565364,62,1,408493,0.06804808931685281,0.07284857311873048
15,294,0,646.7,0.015071854446116386,28,10,0.6348149354358972,0.5545259756607417,1.1035624328123688,5.418189317724372,98,1,633288,0.07486782607132188,0.08188930602127585
16,300,1,587.4,0.026701554329111817,483,4,0.8101368998641325,0.7564008638998438,24.8286637117246,354.7904418850919,48,1,944993,0.07332288959803769,0.08024306118223096
17,298,0,739.0,0.02595174802840326,20,6,0.667721941782569,0.6181946910420768,296.0165917536549,286.1942543301769,366,1,756479,0.07500293561889199,0.07569772287315504
18,297,0,765.1,0.01055756338976108,69,12,0.6940407355751215,0.7070797152493038,20.031179835211454,13.622852888735142,367,1,825870,0.07606955202251384,0.07996214664824712
19,300,1,671.9,0.028893297419902916,50,12,0.5043834260433862,0.9546498614559675,383.20599691594407,1.717949968894855,266,1,286522,0.07523804702720917,0.07609416121524464
20,15,0,357.8,0.06850147823595265,237,10,0.7760299627582232,0.7405505833586428,9.040762686362365,2.3427453073847175,231,1,637942,0.06958079061616758,0.06565496294707783
21,288,0,727.1,0.02394349782751238,56,6,0.9932702875837629,0.6114493438167219,3.9421423797274953,16.27150589863327,22,1,954298,0.07408911190379423,0.08163536345819151
22,69,0,265.1,0.18976975371333446,18,4,0.6857518521049395,0.9177033262531612,276.9972084409877,4.494175735905168,27,1,829080,0.07065159521732807,0.07196852270006945
23,62,0,268.9,0.026677560206953013,71,4,0.8907931363526658,0.9519971223358057,2.1156772720152497,36.93337177477927,131,1,758957,0.06372442833996451,0.0648924494823839
24,298,0,503.7,0.014188127499713004,88,4,0.7378692398591877,0.5271895144525616,159.94208218341382,135.77616823081348,132,1,23899,0.07064449211403835,0.07422018080684141
25,94,0,303.7,0.13879565138479039,26,12,0.7879457450455485,0.5369563955146652,485.2279081347505,431.9288426887437,29,1,400808,0.06971587803930647,0.07430036970232944
26,110,0,718.9,0.040231653629372394,263,8,0.8805114055928032,0.8616501009089983,49.43436444842564,119.08936497013086,49,1,894571,0.07540290235508551,0.07376348215826777
27,94,0,518.7,0.05437397954871562,381,8,0.6786915527281595,0.6065449538712073,2.564452410061362,918.0962494896127,59,1,182209,0.07203876134305881,0.07687978212713005
28,24,0,174.4,0.21809548103431062,22,8,0.6998997099428306,0.6816740587389305,14.091160363478274,53.98791012821539,188,1,831806,0.06721473698660048,0.0728853313729446
29,48,0,300.5,0.2167851423580195,62,8,0.928024083100492,0.506290557259945,387.37605521260343,191.25700977489296,52,1,734658,0.06996571649095192,0.07156444743314734
30,295,0,680.6,0.042145152901057886,52,6,0.7476999442446741,0.8597944410123758,8.485364236933197,51.79283428717023,86,1,930079,0.07745627632548241,0.07862569301420878
31,133,0,509.1,0.10228759901948357,17,10,0.8905227319790063,0.8238113142020821,138.95009212503481,6.250832729974194,28,1,630624,0.07400102684432318,0.07872035966546657
32,171,0,571.1,0.030482913673257103,19,12,0.8136983935993886,0.8796508547660477,126.39582406412929,12.743427691865447,97,1,195069,0.07320672227156537,0.07685380828634644
33,33,0,510.6,0.04570105251539928,139,12,0.9126292204246089,0.8349961734054584,8.155450480143914,82.18510141086442,233,1,252613,0.0708895280107342,0.07039936924341966
34,298,0,491.5,0.052379582210376203,76,4,0.6091630645964832,0.97043960023585,29.693166389527264,25.36217361227296,38,1,618502,0.07367648906268671,0.08034182560783813
35,57,0,372.6,0.08724825337852773,306,6,0.9944508521227193,0.9684529891384349,13.20657434077015,1.0313713171298253,19,1,983527,0.07153706203563924,0.06988988184691092
36,107,0,447.4,0.06415111890999123,273,6,0.8592280578863138,0.7019429833800553,178.94004917196855,132.34849934316478,17,1,764438,0.07486227558212497,0.07760567992403679
37,146,0,498.8,0.021768600628432007,78,10,0.8994085895188658,0.8492308387760734,65.25881060341804,47.05500879812795,14,1,418358,0.07633443377190088,0.07941774359213319
38,115,0,422.6,0.07941251434466269,271,6,0.8473213717657918,0.6111718971909713,246.51114444484628,151.26470958369222,81,1,357600,0.07296374739825942,0.07827287651680714
39,300,1,464.7,0.01079648571965448,120,6,0.6147674836762154,0.8850772258195156,295.9560574390542,246.53186037509872,17,1,454431,0.07280466389763397,0.06977331605639131
40,251,0,382.7,0.040857240290922366,176,4,0.9928604147779829,0.5379162180268169,1.577299049851222,1.1700373147742424,16,1,716807,0.07107897494286704,0.08183887707278757
41,118,0,410.4,0.05394557036679228,36,10,0.6338755169101455,0.871679678533513,34.1191148776074,127.12833483043283,126,1,220525,0.0747216211688557,0.07784712180255039
42,1,0,378.4,0.29466082347992556,504,12,0.7366922483366742,0.9326625217255837,4.4309464219104475,3.4770571852463954,19,1,457125,0.051538078645492404,0.034116584444927746
43,16,0,289.5,0.1330986093973652,68,12,0.903078253153609,0.8049186050095654,6.926500081013907,213.76611025302626,90,1,325564,0.06940983389824348,0.0695666309897245
44,39,0,218.4,0.1334685822694606,34,12,0.7309265870558839,0.5979541157287621,1.5243298575542867,55.472585744907185,15,1,253960,0.07218249826955404,0.07673661394059429
45,165,0,354.4,0.026745573724770395,439,6,0.7241493180919122,0.8325258520407597,59.663893632527454,14.818732181943735,235,1,759824,0.07697498554695308,0.075838648203002
46,190,0,305.7,0.046878959096792905,33,12,0.6871880266512411,0.833414034914467,183.82217196581868,8.326594284349529,37,1,603198,0.07461336342602362,0.08031910026084592
47,25,0,138.2,0.29077939495272814,205,12,0.7658201575757313,0.6437919486390693,467.8764661896895,33.17802938574015,40,1,451139,0.06853211335895108,0.06842724339250501
