cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
0,29,0,556.2,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,2026,0.0702294822728844,0.07570430822940401
1,9,0,517.7,0.18770155690756987,234,10,0.8073773453118105,0.8770771439848543,150.3082158336211,404.9641983254234,19,1,796700,0.0699181038939182,0.06517311940713498
2,42,0,509.3,0.18823542356169015,279,6,0.9266634170919479,0.8614776865136391,280.3841661525658,678.8426263572732,72,1,873507,0.0741184004467612,0.0698997767707162
3,9,0,335.3,0.34905055875200874,192,7,0.8247316546702824,0.8166288739511118,188.7567187168959,630.9666826157737,27,1,290211,0.06696012744301509,0.06356153033943096
4,15,0,351.1,0.20737375256418134,211,7,0.8466486501532318,0.7438030954034818,191.80192988594936,637.6615777611833,16,1,624106,0.06863267593570474,0.0679061336278154
5,26,0,564.9,0.21399569261949775,120,10,0.8399055717171847,1.0,288.6433892449959,234.1190896512311,28,1,730579,0.06922564381865193,0.07306652519365443
6,18,0,574.5,0.20258395136237506,157,10,0.8041053675700878,0.8289811049871337,134.9096858612709,1020.5776498844353,12,1,158132,0.07224448457473295,0.06933861542727406
7,23,0,602.8,0.20117118666611905,141,7,0.7618432693472931,0.9107720840956924,238.53657172151972,505.76785279069225,15,1,280609,0.07185425287465526,0.06688243458891828
8,34,0,470.2,0.152764692670544,194,7,0.8579593141904578,0.8597478856908471,188.23284171249313,381.6190609291546,15,1,350780,0.0746091559787167,0.0750688243441355
9,19,0,654.9,0.22360032664972054,217,8,0.8973243396805226,0.9342106230037042,209.9536752730469,968.2125698036228,22,1,179084,0.07190733001170663,0.07061222819624514
10,49,0,465.3,0.19596680701431837,229,6,0.8507880896392019,0.8550094272985843,158.8516987805977,871.7769981684368,16,1,340180,0.07150148906104703,0.07385236667451114
11,23,0,578.0,0.1675582150116468,149,9,0.7895622763127251,0.9289744051073782,128.441650325595,795.1591195849154,27,1,372587,0.07218836850941955,0.07211265302526766
12,37,0,667.2,0.18096979270453073,198,9,0.8766123718512454,0.9560262469006428,325.13494471942664,791.2985798398465,15,1,386521,0.07310782499409473,0.07502167557267807
13,37,0,468.1,0.24213938492840237,230,7,0.778444079742551,0.7953152542159801,366.0429283314297,387.1150160188217,17,1,917766,0.0702344800625377,0.06864743576983541
14,17,0,622.3,0.1947117457168388,313,8,0.9440491811641029,0.9208939630267716,211.1750533268767,695.8268613495931,12,1,259620,0.07241452069678513,0.06844573277750009
15,22,0,623.5,0.21171068419403305,313,9,0.827154676300114,0.9677587093768004,251.1036224840427,475.07862496413674,13,1,597865,0.06926439435236247,0.07329821418155995
16,27,0,546.1,0.18528800315182958,225,8,0.9825579919445936,0.82804632555009,258.00724816195805,472.1085634829856,11,1,656092,0.07121260569417323,0.07017411862340547
17,38,0,437.4,0.22995836019984287,244,6,0.9040709208827497,0.9075842992531483,352.22188485097536,339.922298392502,36,1,963143,0.07369094526400756,0.07334020767418567
18,40,0,564.3,0.18293883263055263,232,8,0.8714360395643928,0.8663091252314016,204.09762941082954,605.2263873445329,14,1,148998,0.07434953879504239,0.07370221027491858
19,10,0,558.8,0.20619345439562703,133,9,0.8707848552708125,0.9142382036734498,140.75639642807266,601.8682688958494,20,1,138305,0.0708218615259758,0.06130380239463688
20,43,0,558.5,0.21383772401042964,142,8,0.8526142710376993,0.888710448551465,281.8038109976468,462.3618393961583,16,1,691734,0.07154118269596911,0.07656570735499532
21,41,0,748.4,0.16103031287920422,206,8,0.9203897910938239,0.9467614314867133,244.72046516754855,417.1885121499412,23,1,716843,0.07434758416011339,0.07565556166104587
22,29,0,360.9,0.2287432935527075,210,6,0.8986962623911606,0.877090123615416,168.3207904655295,565.9018900019771,10,1,264836,0.06868536511372501,0.07663079383944876
23,35,0,545.9,0.17277063782683236,182,9,0.9599424859378756,0.9142634806929965,312.96905789308113,497.2373048848858,34,1,455969,0.07088318579913715,0.07236686175717909
24,49,0,662.2,0.15360804178991727,210,7,0.9475704468323816,0.9148343346979265,219.21820219939283,803.2984427486335,9,1,314044,0.07215532271535421,0.07620809218321618
25,28,0,305.7,0.18205835297625936,144,8,0.8036216631875821,0.821996235379384,373.46945552721854,418.09375511165445,23,1,882954,0.06969176859969158,0.07538284895395635
26,10,0,535.7,0.2080336257665154,284,10,0.8915392628244725,0.8422281896824306,138.22134340498025,323.7900095955399,17,1,611968,0.06609223409165758,0.06026319054584641
