cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
0,29,0,314.5,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,2026,0.0702294822728844,0.07570430822940401
1,36,0,297.4,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,890859,0.07350391326097973,0.07360629888915765
2,21,0,274.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,313235,0.07093495885402282,0.07057207585244575
3,30,0,291.8,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,165064,0.07188361957354611,0.0721386599450021
4,13,0,266.6,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,699718,0.07038250647810487,0.0647845694670559
5,30,0,285.9,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,880698,0.07162759338216239,0.07568056435798871
6,20,0,257.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,648135,0.07310553662560584,0.0683796124374845
7,29,0,246.9,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,272484,0.07206101818422594,0.06704295119271265
8,17,0,258.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,932275,0.07095601663453398,0.06851005767473142
9,26,0,225.2,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,8382,0.07322834474542467,0.07478950097070873
10,36,0,263.2,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,182710,0.07034252063256362,0.07123718559113036
11,22,0,237.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,574761,0.07122594866493664,0.0745916013629237
12,25,0,254.6,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,779595,0.07388923109704716,0.07439253766548949
13,44,0,246.7,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,365216,0.07244454498424886,0.07842341315614663
14,19,0,200.5,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,215578,0.06943141725085608,0.07092639600552468
15,34,0,246.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,989683,0.07131578437976682,0.07288554710860302
16,27,0,223.1,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,546915,0.07376591650543789,0.06977552053072159
17,23,0,235.9,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,693968,0.07227053548166608,0.0721286573153909
18,31,0,243.9,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,519240,0.07208342102739657,0.07323362407165324
19,15,0,242.4,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,225153,0.0670894732027353,0.0688912279883422
20,24,0,203.7,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,870884,0.0731507202970309,0.07430998400353955
21,24,0,228.5,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,109668,0.07030566037099648,0.07161323845010932
22,24,0,226.7,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,724738,0.07089767409601286,0.07655536774997762
23,25,0,210.7,0.2,210,8,0.8879,0.8789,205.6999,580.9768,20,0,667166,0.06747144578273254,0.0738931683127688
