pool,W,K,n_cand,sd_dev,sd_noise,noise_share,selection,se,predicted,ceiling,transfer
narrow,20,2,128,0.00789,0.00769,0.951,0.00485,0.00012,0.00425,0.00436,-0.00035
narrow,20,5,128,0.00789,0.00769,0.951,0.00977,0.0001,0.00874,0.00896,-0.00065
narrow,20,10,128,0.00789,0.00769,0.951,0.01261,8e-05,0.01156,0.01186,-0.00098
narrow,20,25,128,0.00789,0.00769,0.951,0.01583,6e-05,0.01473,0.01511,-0.00166
narrow,20,50,128,0.00789,0.00769,0.951,0.01703,4e-05,0.01686,0.01729,-0.00123
narrow,20,100,128,0.00789,0.00769,0.951,0.01631,2e-05,0.01877,0.01925,0.00105
narrow,40,2,128,0.00545,0.00463,0.722,0.0031,9e-05,0.00223,0.00262,2e-05
narrow,40,5,128,0.00545,0.00463,0.722,0.00656,8e-05,0.00459,0.0054,4e-05
narrow,40,10,128,0.00545,0.00463,0.722,0.009,8e-05,0.00607,0.00714,-0.00036
narrow,40,25,128,0.00545,0.00463,0.722,0.01263,7e-05,0.00773,0.0091,-0.00159
narrow,40,50,128,0.00545,0.00463,0.722,0.01518,6e-05,0.00885,0.01041,-0.00277
narrow,40,100,128,0.00545,0.00463,0.722,0.01805,4e-05,0.00985,0.01159,-0.00448
narrow,60,2,128,0.00445,0.00342,0.591,0.0023,8e-05,0.00149,0.00194,0.00023
narrow,60,5,128,0.00445,0.00342,0.591,0.00491,6e-05,0.00306,0.00398,0.00033
narrow,60,10,128,0.00445,0.00342,0.591,0.00638,5e-05,0.00405,0.00527,0.00031
narrow,60,25,128,0.00445,0.00342,0.591,0.00751,3e-05,0.00517,0.00672,0.00061
narrow,60,50,128,0.00445,0.00342,0.591,0.00782,2e-05,0.00591,0.00769,0.00113
narrow,60,100,128,0.00445,0.00342,0.591,0.00854,1e-05,0.00658,0.00856,0.00134
narrow,120,2,128,0.00353,0.00275,0.607,0.00154,7e-05,0.00121,0.00156,0.00042
narrow,120,5,128,0.00353,0.00275,0.607,0.00364,6e-05,0.00249,0.0032,0.00043
narrow,120,10,128,0.00353,0.00275,0.607,0.00529,6e-05,0.0033,0.00424,6e-05
narrow,120,25,128,0.00353,0.00275,0.607,0.00768,6e-05,0.00421,0.0054,-0.00091
narrow,120,50,128,0.00353,0.00275,0.607,0.00972,4e-05,0.00481,0.00618,-0.002
narrow,120,100,128,0.00353,0.00275,0.607,0.01127,1e-05,0.00536,0.00688,-0.00285
narrow,242,2,128,0.00265,0.00177,0.444,0.00036,5e-05,0.00067,0.001,0.00113
narrow,242,5,128,0.00265,0.00177,0.444,0.00097,4e-05,0.00137,0.00206,0.00195
narrow,242,10,128,0.00265,0.00177,0.444,0.00179,4e-05,0.00182,0.00273,0.00202
narrow,242,25,128,0.00265,0.00177,0.444,0.00306,4e-05,0.00231,0.00347,0.0017
narrow,242,50,128,0.00265,0.00177,0.444,0.00376,3e-05,0.00265,0.00397,0.00156
narrow,242,100,128,0.00265,0.00177,0.444,0.00361,1e-05,0.00295,0.00443,0.00214
broad,20,2,48,0.01136,0.00769,0.458,0.00452,0.00017,0.00295,0.00436,0.0014
broad,20,5,48,0.01136,0.00769,0.458,0.01084,0.00018,0.00606,0.00896,0.00104
broad,20,10,48,0.01136,0.00769,0.458,0.01749,0.00018,0.00803,0.01186,-0.00089
broad,20,25,48,0.01136,0.00769,0.458,0.02694,0.00015,0.01023,0.01511,-0.00386
broad,40,2,48,0.00918,0.00463,0.255,0.00284,0.00013,0.00132,0.00262,0.00158
broad,40,5,48,0.00918,0.00463,0.255,0.00704,0.00013,0.00272,0.0054,0.00095
broad,40,10,48,0.00918,0.00463,0.255,0.01139,0.00014,0.0036,0.00714,-0.00081
broad,40,25,48,0.00918,0.00463,0.255,0.01819,0.00011,0.00459,0.0091,-0.00386
broad,60,2,48,0.00792,0.00342,0.186,0.00181,0.0001,0.00084,0.00194,0.00202
broad,60,5,48,0.00792,0.00342,0.186,0.00457,0.0001,0.00172,0.00398,0.00187
broad,60,10,48,0.00792,0.00342,0.186,0.00712,0.00011,0.00228,0.00527,0.00095
broad,60,25,48,0.00792,0.00342,0.186,0.01056,8e-05,0.0029,0.00672,-0.0003
broad,120,2,48,0.00768,0.00275,0.128,0.00058,7e-05,0.00056,0.00156,0.00277
broad,120,5,48,0.00768,0.00275,0.128,0.00195,7e-05,0.00115,0.0032,0.00338
broad,120,10,48,0.00768,0.00275,0.128,0.00327,7e-05,0.00152,0.00424,0.00319
broad,120,25,48,0.00768,0.00275,0.128,0.00547,6e-05,0.00193,0.0054,0.00228
broad,242,2,48,0.00573,0.00177,0.095,-0.00062,5e-05,0.00031,0.001,0.00332
broad,242,5,48,0.00573,0.00177,0.095,-0.00045,4e-05,0.00064,0.00206,0.00492
broad,242,10,48,0.00573,0.00177,0.095,0.00018,4e-05,0.00084,0.00273,0.0051
broad,242,25,48,0.00573,0.00177,0.095,0.00092,2e-05,0.00107,0.00347,0.00525
